Player,First Season,Most Recent Season,Height,Birthplace,All Star Selections,HallofFame,League Status,G,GS,MP,TRB,AST,STL,BLK,PTS,FG%,eFG%,FT%,TS%,3P%
Damian Jones,2017,2019,7-0,Baton Rouge,0,No,Active,49,22,584,112,30,14,32,174,0.643,0.643,0.577,0.645,
Earl Jones,1985,1986,7-0,Oak Hill,0,No,Inactive,14,0,50,10,4,0,1,13,0.385,0.385,0.75,0.44,
Jerome Jordan,2012,2015,7-0,Kingston,0,No,Inactive,65,0,491,132,17,9,21,180,0.528,0.528,0.852,0.597,
Chris Kaman,2004,2016,7-0,Wyoming,1,No,Inactive,735,538,19642,5582,921,322,931,8208,0.489,0.489,0.743,0.525,0.042
Frank Kaminsky,2016,2019,7-0,Lisle,0,No,Active,267,23,5911,1050,424,125,102,2577,0.418,0.49,0.758,0.526,0.351
Rich Kelley,1976,1986,7-0,San Mateo,0,No,Inactive,814,126,17711,5678,2092,694,749,6199,0.488,0.488,0.783,0.565,0
Alex Kirk,2015,2015,7-0,Los Alamos,0,No,Inactive,5,0,14,1,1,0,0,4,0.25,0.25,1,0.41,
Travis Knight,1997,2003,7-0,Salt Lake City,0,No,Inactive,371,58,4566,1160,224,136,220,1276,0.438,0.444,0.696,0.48,0.259
Jon Koncak,1986,1996,7-0,Cedar Rapids,0,No,Inactive,784,379,16409,3856,785,542,791,3520,0.47,0.473,0.597,0.499,0.226
Len Kosmalski,1975,1976,7-0,Cleveland,0,No,Inactive,76,,506,144,53,9,10,110,0.398,0.398,0.778,0.463,
Kosta Koufos,2009,2019,7-0,Canton,0,No,Active,676,229,11150,3414,349,289,501,3869,0.535,0.535,0.582,0.546,0
Viacheslav Kravtsov,2013,2014,7-0,Odessa,0,No,Inactive,45,0,283,62,10,5,10,97,0.672,0.672,0.333,0.6,
Nenad Krstić,2005,2011,7-0,Kraljevo,0,No,Inactive,419,373,10547,2261,346,162,286,4210,0.494,0.494,0.73,0.533,0.143
Kevin Kunnert,1974,1982,7-0,Dubuque,0,No,Inactive,555,0,12104,4031,784,252,616,4602,0.476,0.476,0.682,0.499,
Edmund Lawrence,1981,1981,7-0,Lake Charles,0,No,Inactive,3,,19,4,1,1,0,12,0.625,0.625,0.5,0.615,
Alton Lister,1982,1998,7-0,Dallas,0,No,Inactive,953,582,18965,5996,914,351,1473,6298,0.512,0.512,0.597,0.539,0.111
Brook Lopez,2009,2019,7-0,North Hollywood,1,No,Active,704,667,21777,4611,1065,398,1220,12245,0.499,0.52,0.791,0.567,0.346
Robin Lopez,2009,2019,7-0,North Hollywood,0,No,Active,753,567,17294,3982,619,188,915,6771,0.529,0.53,0.758,0.566,0.233
Todd MacCulloch,2000,2003,7-0,Winnipeg,0,No,Inactive,223,105,3439,888,121,61,177,1369,0.541,0.541,0.642,0.566,
Lauri Markkanen,2018,2019,7-0,Vantaa,0,No,Active,114,113,3540,926,144,74,67,1909,0.433,0.514,0.861,0.554,0.36
Bob Martin,1994,1995,7-0,Minneapolis,0,No,Inactive,54,1,549,119,18,8,34,113,0.441,0.441,0.608,0.489,
Dan McClintock,2001,2001,7-0,Fountain Valley,0,No,Inactive,6,1,58,17,1,0,2,18,0.5,0.5,0,0.446,
JaVale McGee,2009,2019,7-0,Flint,0,No,Active,618,234,10600,3050,226,238,947,4838,0.566,0.566,0.59,0.579,0.087
Fab Melo,2013,2013,7-0,Juiz de Fora,0,No,Inactive,6,0,36,3,0,2,2,7,0.5,0.5,0.25,0.451,
Chris Mihm,2001,2009,7-0,Milwaukee,0,No,Inactive,436,256,8758,2302,223,128,444,3262,0.459,0.459,0.704,0.509,0.231
Darko Miličić,2004,2013,7-0,Novi Sad,0,No,Inactive,468,208,8638,1971,405,206,613,2813,0.46,0.46,0.574,0.481,0
Paul Mokeski,1980,1991,7-0,Spokane,0,No,Inactive,694,38,9739,2342,500,228,307,2764,0.451,0.453,0.694,0.496,0.216
Eric Montross,1995,2002,7-0,Indianapolis,0,No,Inactive,465,288,8479,2159,207,122,275,2071,0.49,0.49,0.478,0.497,0
Ron Moore,1988,1988,7-0,New York City,0,No,Inactive,14,0,59,8,1,5,0,24,0.31,0.31,0.75,0.369,
Donatas Motiejūnas,2013,2017,7-0,Kaunas,0,No,Inactive,248,101,4553,949,268,118,81,1826,0.469,0.508,0.6,0.526,0.3
Byron Mullens,2010,2014,7-0,Canal Winchester,0,No,Inactive,189,66,3446,790,153,74,98,1398,0.408,0.448,0.706,0.474,0.319
Todd Mundt,1996,1996,7-0,Iowa City,0,No,Inactive,33,0,151,28,3,2,5,37,0.39,0.39,0.625,0.416,
Hamady N'Diaye,2011,2014,7-0,Dakar,0,No,Inactive,33,0,157,25,3,2,9,20,0.467,0.467,0.462,0.483,
Mamadou N'Diaye,2001,2005,7-0,Dakar,0,No,Inactive,69,9,858,225,8,17,64,262,0.427,0.427,0.736,0.516,0
Boniface N'Dong,2006,2006,7-0,Dakar,0,No,Inactive,23,1,152,37,7,2,5,50,0.415,0.415,0.667,0.439,0
Radoslav Nesterović,1999,2010,7-0,Ljubljana,0,No,Inactive,811,595,17983,4143,836,330,934,5519,0.502,0.502,0.585,0.511,0.077
Dave Newmark,1969,1970,7-0,Brooklyn,0,No,Inactive,145,,1771,521,100,,,769,0.405,0.405,0.671,0.444,
Rich Niemann,1969,1970,7-0,St. Louis,0,No,Inactive,40,,290,106,18,,,113,0.414,0.414,0.778,0.46,
Lucas Nogueira,2015,2018,7-0,São Gonçalo,0,No,Inactive,141,10,1754,388,72,89,144,446,0.632,0.648,0.64,0.659,0.265
Dirk Nowitzki,1999,2019,7-0,Würzburg,12,No,Active,1507,1446,51049,11416,3636,1206,1273,31393,0.471,0.513,0.879,0.577,0.381
Jusuf Nurkić,2015,2019,7-0,Tuzla,0,No,Active,304,223,6929,2409,570,256,392,3495,0.491,0.491,0.663,0.528,0.073
Patrick O'Bryant,2007,2010,7-0,Oskaloosa,0,No,Inactive,90,3,524,127,25,18,40,186,0.494,0.494,0.583,0.513,0
Greg Oden,2009,2014,7-0,Buffalo,0,No,Inactive,105,66,2028,656,51,40,130,840,0.574,0.574,0.658,0.609,
Hakeem Olajuwon,1985,2002,7-0,Lagos,12,Yes,Inactive,1238,1186,44222,13748,3058,2162,3830,26946,0.512,0.513,0.712,0.553,0.202
Jawann Oldham,1981,1991,7-0,Chicago,0,No,Inactive,329,69,5241,1353,162,97,546,1455,0.479,0.479,0.607,0.504,0
Michael Olowokandi,1999,2007,7-0,Lagos,0,No,Inactive,500,393,13129,3414,327,226,697,4135,0.435,0.435,0.597,0.457,
Kelly Olynyk,2014,2019,7-0,Toronto,0,No,Active,418,79,8941,2033,793,301,190,4150,0.48,0.551,0.762,0.584,0.369
Robert Parish,1977,1997,7-0,Shreveport,9,Yes,Inactive,1611,1134,45704,14715,2180,1219,2361,23334,0.537,0.537,0.721,0.571,0
Justin Patton,2018,2019,7-0,Omaha,0,No,Active,4,0,25,6,3,3,0,7,0.333,0.333,0.5,0.354,0
Oleksiy Pecherov,2008,2010,7-0,Donetsk,0,No,Inactive,111,5,1044,266,20,21,22,438,0.386,0.441,0.793,0.482,0.29
